Start Date,01/01/2010,,,,,
End Date,01/01/2023,,,,,
,,,,,,
,LME COPPER    3MO ($),LME ALUMINUM  3MO ($),LME ZINC      3MO ($),LME LEAD      3MO ($),LME TIN       3MO ($),Generic 1st 'CL' Future
,LMCADS03 Comdty,LMAHDS03 Comdty,LMZSDS03 Comdty,LMPBDS03 Comdty,LMSNDS03 Comdty,CL1 Comdty
,Settlement Price,Settlement Price,Settlement Price,Settlement Price,Settlement Price,Settlement Price
Dates,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE
20/07/2020,6487.5,1664.5,2200.5,1840.5,17360,40.81
21/07/2020,6534.5,1696.5,2245,1848,17565,41.96
22/07/2020,6486,1691,2213,1805.5,17581,41.9
23/07/2020,6544.5,1701,2239.5,1826,17813,41.07
24/07/2020,6415,1700,2218,1818,17657,41.29
27/07/2020,6420.5,1708,2237,1850.5,18035,41.6
28/07/2020,6477,1724,2246.5,1868,17993,41.04
29/07/2020,6474,1725,2297,1873,17930,41.27
30/07/2020,6430.5,1720,2286.5,1873,17805,39.92
31/07/2020,6413,1713.5,2318.5,1879.5,17897,40.27
03/08/2020,6490,1752,2324,1869,18013,41.01
04/08/2020,6453,1770,2339.5,1881.5,17770,41.7
05/08/2020,6494.5,1767,2409,1933,17885,42.19
06/08/2020,6478.5,1777.5,2412,1966,17840,41.95
07/08/2020,6308,1771,2404,1915.5,17771,41.22
10/08/2020,6396.5,1786,2397,1899,17716,41.94
11/08/2020,6386,1786,2410,1960.5,17690,41.61
12/08/2020,6432.5,1787,2401,1957.5,17580,42.67
13/08/2020,6256,1763.5,2375,1943.5,17500,42.24
14/08/2020,6366.5,1746,2367.5,1950.5,17600,42.01
17/08/2020,6446,1756,2442,1971,17321,42.89
18/08/2020,6567.5,1773.5,2458.5,1988,17600,42.89
19/08/2020,6685,1793.5,2505,2012,17640,42.93
20/08/2020,6601.5,1789.5,2489,1995,17570,42.58
21/08/2020,6490,1765,2456,1972.5,17570,42.34
24/08/2020,6516,1770.5,2445.5,1979.5,17310,42.62
25/08/2020,6529,1775.5,2482,1993.5,17360,43.35
26/08/2020,6594,1780,2467,1977.5,17550,43.39
27/08/2020,6621,1781,2485.5,1982,17810,43.04
28/08/2020,6667,1800,2515,1972.5,17850,42.97
31/08/2020,6667,1800,2515,1972.5,17850,42.61
01/09/2020,6687.5,1816.5,2553,1972,18186,42.76
02/09/2020,6697,1786,2533.5,1938,18348,41.51
03/09/2020,6563.5,1780,2514,1944,18225,41.37
04/09/2020,6710,1786.5,2483,1972,18250,39.77
07/09/2020,6789,1797.5,2509.5,1971,18330,39.77
08/09/2020,6668,1792,2417,1903.5,18046,36.76
09/09/2020,6734,1784,2423,1894.5,18015,38.05
10/09/2020,6668.5,1789.5,2416.5,1882.5,18000,37.3
11/09/2020,6739,1775,2471,1889.5,18102,37.33
14/09/2020,6796,1800.5,2480.5,1927,18155,37.26
15/09/2020,6761.5,1789.5,2496.5,1908,18209,38.28
16/09/2020,6777,1795.5,2528,1894,18275,40.16
17/09/2020,6780.5,1781,2514,1910,18190,40.97
18/09/2020,6812.5,1792.5,2538,1913,18115,41.11
21/09/2020,6691.5,1779.5,2458.5,1888.5,18100,39.31
22/09/2020,6780,1776.5,2464.5,1884,18250,39.6
23/09/2020,6604.5,1754.5,2404,1877,17850,39.93
24/09/2020,6523.5,1740,2370,1856,17281,40.31
25/09/2020,6545,1748.5,2369,1834.5,17185,40.25
28/09/2020,6572,1775,2432,1834,17344,40.6
29/09/2020,6579,1783,2424.5,1844.5,17459,39.29
30/09/2020,6672,1765,2403,1824.5,17494,40.22
01/10/2020,6387,1739.5,2326.5,1807.5,17302,38.72
02/10/2020,6553,1768,2327,1771.5,17815,37.05
05/10/2020,6528.5,1776,2326.5,1756.5,18070,39.22
06/10/2020,6530,1765,2363,1780.5,18180,40.67
07/10/2020,6679,1783.5,2357,1802.5,18110,39.95
08/10/2020,6683,1804.5,2365,1792,18137,41.19
09/10/2020,6763,1841.5,2434,1808.5,18270,40.6
12/10/2020,6737.5,1855.5,2440,1845.5,18245,39.43
13/10/2020,6692,1858,2417,1801.5,18255,40.2
14/10/2020,6716,1852,2417,1795.5,18300,41.04
15/10/2020,6749,1852,2425.5,1772.5,18355,40.96
16/10/2020,6740,1870.5,2436,1752,18320,40.88
19/10/2020,6779.5,1853.5,2491,1759,18640,40.83
20/10/2020,6899,1834.5,2529.5,1765.5,18670,41.46
21/10/2020,6991.5,1843.5,2568.5,1810.5,18745,40.03
22/10/2020,6922.5,1846.5,2578.5,1811,18685,40.64
23/10/2020,6867.5,1842.5,2558.5,1786,18405,39.85
26/10/2020,6781,1827.5,2539.5,1780.5,18050,38.56
27/10/2020,6798,1822,2545,1777,18072,39.57
28/10/2020,6748,1809.5,2529,1793.5,17929,37.39
29/10/2020,6729.5,1803,2531.5,1840.5,17822,36.17
30/10/2020,6718.5,1848.5,2523,1820,17725,35.79
02/11/2020,6762,1866,2540.5,1798,17770,36.81
03/11/2020,6816,1905.5,2566.5,1810,18075,37.66
04/11/2020,6837.5,1908.5,2593.5,1842,18190,39.15
05/11/2020,6852.5,1897.5,2615.5,1847.5,18240,38.79
06/11/2020,6946.5,1901.5,2634.5,1842.5,18360,37.14
09/11/2020,6916,1893.5,2641.5,1833,18285,40.29
10/11/2020,6932,1908,2645,1850,18280,41.36
11/11/2020,6885,1918,2624,1874.5,18200,41.45
12/11/2020,6934,1930,2626,1899,18300,41.12
13/11/2020,6982.5,1932,2629,1893,18400,40.13
16/11/2020,7108,1951,2679.5,1911.5,18755,41.34
17/11/2020,7068,1977.5,2689.5,1940.5,19025,41.43
18/11/2020,7088.5,1998,2747,1948.5,18845,41.82
19/11/2020,7093,1992.5,2759,1978.5,18730,41.74
20/11/2020,7277.5,1993,2793.5,2014.5,18795,42.15
23/11/2020,7177.5,1973.5,2729.5,2010.5,18640,43.06
24/11/2020,7293,1986.5,2757,2022.5,18693,44.91
25/11/2020,7300,1970,2754.5,2030.5,18736,45.71
26/11/2020,7402.5,1976,2760.5,2034,18810,45.71
27/11/2020,7499.5,1998.5,2795,2099,18911,45.53
30/11/2020,7580,2045,2790.5,2070,18621,45.34
01/12/2020,7694.5,2064.5,2770,2087,18895,44.55
02/12/2020,7673,2055,2747.5,2058,18790,45.28
03/12/2020,7674.5,2028,2756,2032.5,18895,45.64
04/12/2020,7760.5,2044,2757,2027.5,18955,46.26
07/12/2020,7710,2017,2786.5,2076,19120,45.76
08/12/2020,7699,1990,2799.5,2099.5,19175,45.6
09/12/2020,7723,2035,2855.5,2109,19442,45.52
10/12/2020,7878,2060,2867,2088.5,19465,46.78
11/12/2020,7772.5,2022.5,2795,2062.5,19425,46.57
14/12/2020,7751,2047,2836,2029,19750,46.99
15/12/2020,7782.5,2029.5,2814.5,2052,19695,47.62
16/12/2020,7836,2035,2832,2049,19925,47.82
17/12/2020,7920,2053,2856,2040.5,20000,48.36
18/12/2020,7985,2056.5,2872.5,2039.5,20059,49.1
21/12/2020,7846.5,2020.5,2834.5,1959.5,19950,47.74
22/12/2020,7746.5,1995.5,2775,1964.5,20000,47.02
23/12/2020,7843.5,2006,2819,1972.5,20033,48.12
24/12/2020,7787.5,2030,2842.5,1970.5,20185,48.23
25/12/2020,7787.5,2030,2842.5,1970.5,20185,48.23
28/12/2020,7787.5,2030,2842.5,1970.5,20185,47.62
29/12/2020,7859.5,1991,2762,1984.5,20386,48
30/12/2020,7847.5,1999.5,2784.5,1996,20335,48.4
31/12/2020,7766,1979.5,2751,1994,20325,48.52
01/01/2021,7766,1979.5,2751,1994,20325,48.52
04/01/2021,7860.5,2031.5,2792,2051.5,21049,47.62
05/01/2021,8002,2040.5,2813,2081,21185,49.93
06/01/2021,8037.5,2038.5,2860,2062.5,21105,50.63
07/01/2021,8179,2036.5,2888,2035,21110,50.83
08/01/2021,8131,2021.5,2813.5,2001.5,21000,52.24
11/01/2021,7864,2009.5,2767.5,1966.5,20700,52.25
12/01/2021,7975.5,2019.5,2778,2021,20925,53.21
13/01/2021,8009,2013,2773.5,2051,21035,52.91
14/01/2021,8048.5,2005.5,2757,2030,21007,53.57
15/01/2021,7949,1991,2699,1997.5,21100,52.36
18/01/2021,7971.5,1972,2682.5,1996.5,21235,52.36
19/01/2021,7954,1964,2686,2015,21165,52.98
20/01/2021,8044.5,1980.5,2728,2044,21633,53.24
21/01/2021,8021.5,1997.5,2709,2040.5,22001,53.13
22/01/2021,7997.5,1994.5,2715,2046.5,21960,52.27
25/01/2021,7969,2012,2705.5,2047,22450,52.77
26/01/2021,8008.5,2020,2656.5,2078,22850,52.61
27/01/2021,7825,1992,2583.5,2045,22805,52.85
28/01/2021,7873,1984.5,2592.5,2032.5,22995,52.34
29/01/2021,7856,1977.5,2579.5,2024,22779,52.2
01/02/2021,7798.5,1969,2570.5,2036.5,23103,53.55
02/02/2021,7777,1972.5,2569.5,2015.5,22990,54.76
03/02/2021,7842.5,1973.5,2615,2035,22940,55.69
04/02/2021,7823,1993.5,2627,2044,22825,56.23
05/02/2021,7912.5,2015.5,2665.5,2052.5,23123,56.85
08/02/2021,8037,2028,2651,2073.5,23069,57.97
09/02/2021,8147.5,2054,2695.5,2078.5,23195,58.36
10/02/2021,8299.5,2079,2725,2095.5,23325,58.68
11/02/2021,8280.5,2079.5,2789.5,2102.5,23300,58.24
12/02/2021,8332,2089.5,2834,2118.5,23650,59.47
15/02/2021,8393.5,2083.5,2842.5,2123.5,24385,59.47
16/02/2021,8405.5,2086.5,2827.5,2106.5,24250,60.05
17/02/2021,8390,2115,2816,2110.5,24570,61.14
18/02/2021,8553,2137.5,2855.5,2117,24925,60.52
19/02/2021,8909.5,2131.5,2881,2164.5,26215,59.24
22/02/2021,9097,2166.5,2899,2152,26615,61.49
23/02/2021,9206.5,2147,2854.5,2121.5,26520,61.67
24/02/2021,9308.5,2184.5,2846.5,2124,26700,63.22
25/02/2021,9412.5,2235,2890,2158.5,26840,63.53
26/02/2021,9077,2154.5,2792.5,2052.5,25664,61.5
01/03/2021,9044,2129.5,2816,2072,23460,60.64
02/03/2021,9170.5,2211.5,2851,2080,24300,59.75
03/03/2021,9101.5,2200,2787,2051,24100,61.28
04/03/2021,8907.5,2153.5,2748.5,2015,23575,63.83
05/03/2021,8895.5,2176,2773.5,2002,24444,66.09
08/03/2021,8998.5,2171,2782,1978.5,24325,65.05
09/03/2021,8779.5,2168.5,2777.5,1965.5,24435,64.01
10/03/2021,8861.5,2168,2764,1946.5,25125,64.44
11/03/2021,9057.5,2178,2823,1942.5,25900,66.02
12/03/2021,9085,2171,2804,1962.5,25600,65.61
15/03/2021,9144.5,2218,2858.5,1963.5,25310,65.39
16/03/2021,8960.5,2202.5,2810,1934.5,25000,64.8
17/03/2021,9065.5,2227.5,2827,1920.5,25740,64.6
18/03/2021,9055.5,2216,2792,1923,25835,60
19/03/2021,9057,2265.5,2837,1958.5,25675,61.42
22/03/2021,9108.5,2272,2866,1972.5,25800,61.55
23/03/2021,8980,2219.5,2838.5,1949,25910,57.76
24/03/2021,8977.5,2258,2800.5,1939.5,25315,61.18
25/03/2021,8779.5,2246,2771,1920.5,25200,58.56
26/03/2021,8962,2298,2830.5,1952.5,25575,60.97
29/03/2021,8865,2266,2829.5,1956.5,25350,61.56
30/03/2021,8773.5,2231,2810,1971,25310,60.55
31/03/2021,8785.5,2212,2818.5,1974.5,25388,59.16
01/04/2021,8790,2225.5,2774.5,1963.5,25123,61.45
02/04/2021,8790,2225.5,2774.5,1963.5,25123,61.45
05/04/2021,8790,2225.5,2774.5,1963.5,25123,58.65
06/04/2021,9047,2268,2824,1967,25815,59.33
07/04/2021,8915.5,2260,2832.5,1993.5,25790,59.77
08/04/2021,9008,2282.5,2854.5,1983,25795,59.6
09/04/2021,8926.5,2264,2829.5,1978.5,25755,59.32
12/04/2021,8861,2262,2758,1976,25567,59.7
13/04/2021,8899.5,2293,2785.5,1986.5,25645,60.18
14/04/2021,9074.5,2323.5,2823,1996,26217,63.15
15/04/2021,9284,2339,2864.5,2016,26359,63.46
16/04/2021,9211,2315,2856,2046,26616,63.13
19/04/2021,9376,2330,2846,2056.5,26718,63.38
20/04/2021,9322,2309.5,2814,2030,26822,62.44
21/04/2021,9445,2364.5,2815,2023.5,26939,61.35
22/04/2021,9401,2363,2822.5,2049,26785,61.43
23/04/2021,9551.5,2364.5,2852,2058,26780,62.14
26/04/2021,9751,2403.5,2915,2078.5,27050,61.91
27/04/2021,9855.5,2396,2925.5,2090,27150,62.94
28/04/2021,9876,2399.5,2919.5,2102.5,28539,63.86
29/04/2021,9885,2417,2919,2116.5,28475,65.01
30/04/2021,9825,2397,2926,2152,28690,63.58
03/05/2021,9825,2397,2926,2152,28690,64.49
04/05/2021,9966,2428,2968,2198.5,28990,65.69
05/05/2021,9949.5,2444.5,2933,2175,29686,65.63
06/05/2021,10092,2488.5,2943.5,2218,30125,64.71
07/05/2021,10417,2540,3015,2236.5,29815,64.9
10/05/2021,10382,2531,2991.5,2212.5,29770,64.92
11/05/2021,10460,2521,3009,2222,29842,65.28
12/05/2021,10445.5,2480.5,2969,2187,29660,66.08
13/05/2021,10342,2451.5,2920,2148.5,29206,63.82
14/05/2021,10240.5,2463,2938,2155,29515,65.37
17/05/2021,10373,2499,3014,2207.5,29895,66.27
18/05/2021,10405,2478,3057,2228.5,30455,65.49
19/05/2021,10001.5,2415,2939,2174.5,29615,63.36
20/05/2021,10048,2396,2959.5,2217,29750,62.05
21/05/2021,9881.5,2370,2971,2188,29530,63.58
24/05/2021,9947,2387,2948.5,2141.5,29465,66.05
25/05/2021,9918,2372,2982.5,2158.5,29469,66.07
26/05/2021,9979,2402,2968.5,2177,29525,66.21
27/05/2021,10221,2481,3061,2202.5,29910,66.85
28/05/2021,10258,2483,3060,2193.5,30740,66.32
31/05/2021,10258,2483,3060,2193.5,30740,66.32
01/06/2021,10245,2469,3064,2219.5,30723,67.72
02/06/2021,10147.5,2444,3082.5,2219.5,30845,68.83
03/06/2021,9788.5,2405,2984.5,2173,29986,68.81
04/06/2021,9955,2455,3010.5,2136,30865,69.62
07/06/2021,9900.5,2426,2999.5,2153,30525,69.23
08/06/2021,9964,2452.5,3016.5,2183.5,31223,70.05
09/06/2021,9978.5,2458.5,3019,2199,31209,69.96
10/06/2021,9890,2476,2995,2174.5,31195,70.29
11/06/2021,10003.5,2464.5,3044.5,2205,31570,70.91
14/06/2021,9971.5,2494,3044.5,2211,31651,70.88
15/06/2021,9569.5,2467,3029,2175.5,31463,72.12
16/06/2021,9667,2469.5,3024,2202.5,31215,72.15
17/06/2021,9315.5,2400,2911.5,2130,30600,71.04
18/06/2021,9145.5,2385,2822.5,2157.5,29862,71.64
21/06/2021,9180,2403.5,2837,2156.5,30079,73.66
22/06/2021,9301,2425,2861.5,2174.5,30399,73.06
23/06/2021,9482.5,2439.5,2893,2192,30400,73.08
24/06/2021,9419,2440,2916,2220.5,30634,73.3
25/06/2021,9413.5,2486,2907.5,2220,30774,74.05
28/06/2021,9388,2490,2905,2233,31152,72.91
29/06/2021,9334.5,2551.5,2950.5,2305,31354,72.98
30/06/2021,9374.5,2523.5,2974.5,2274,31255,73.47
01/07/2021,9322,2512,2938.5,2269,31294,75.23
02/07/2021,9376.5,2562,2935,2300,31520,75.16
05/07/2021,9511,2556,2945.5,2286.5,31665,75.16
06/07/2021,9312,2530,2934.5,2293.5,31669,73.37
07/07/2021,9455,2499.5,2958.5,2290,31690,72.2
08/07/2021,9323,2442,2933.5,2297,31685,72.94
09/07/2021,9519.5,2501.5,2977,2330.5,31680,74.56
12/07/2021,9409,2489.5,2949.5,2332.5,32094,74.1
13/07/2021,9412.5,2535.5,2934.5,2311,32381,75.25
14/07/2021,9342.5,2525,2925.5,2299,32661,73.13
15/07/2021,9486.5,2518,2968.5,2329.5,33130,71.65
16/07/2021,9427,2488.5,3003,2320,33600,71.81
19/07/2021,9222,2425.5,2977,2285,33380,66.42
20/07/2021,9336,2465.5,2962,2328,33505,67.42
21/07/2021,9347,2453.5,2929,2336.5,33425,70.3
22/07/2021,9441.5,2483,2938.5,2399.5,34100,71.91
23/07/2021,9516,2502.5,2963,2375,34500,72.07
26/07/2021,9809.5,2519,3011,2372.5,34785,71.91
27/07/2021,9758.5,2490,2982.5,2338.5,34375,71.65
28/07/2021,9686,2537,2979.5,2343.5,34400,72.39
29/07/2021,9823.5,2591.5,2998,2365.5,34898,73.62
30/07/2021,9728,2590,3027,2382,34649,73.95
02/08/2021,9700.5,2615,3050.5,2402,34830,71.26
03/08/2021,9541.5,2586,2969.5,2398,34637,70.56
04/08/2021,9466,2566.5,2973.5,2380,34630,68.15
05/08/2021,9491.5,2588,3028.5,2362,34625,69.09
06/08/2021,9468,2578,2983.5,2274.5,34750,68.28
09/08/2021,9369.5,2549,2951.5,2258.5,34600,66.48
10/08/2021,9520.5,2574.5,3000,2288.5,35084,68.29
11/08/2021,9512,2585.5,3043.5,2318.5,35631,69.25
12/08/2021,9467.5,2582.5,2992.5,2307,35270,69.09
13/08/2021,9570,2600,3033.5,2334,35324,68.44
16/08/2021,9442,2602,3031,2311.5,35680,67.29
17/08/2021,9247.5,2599.5,3015,2323,35798,66.59
18/08/2021,9042.5,2555,2985,2289.5,35383,65.46
19/08/2021,8894,2545.5,2951.5,2260,33118,63.69
20/08/2021,9037,2546.5,2928.5,2251,32237,62.32
23/08/2021,9273.5,2602,2929,2285,32200,65.64
24/08/2021,9376,2615,3018,2293.5,32836,67.54
25/08/2021,9356,2617.5,3026,2318,32915,68.36
26/08/2021,9299.5,2619.5,3002,2292.5,33350,67.42
27/08/2021,9410,2649.5,3002,2295.5,33600,68.74
30/08/2021,9410,2649.5,3002,2295.5,33600,69.21
31/08/2021,9520,2718,3003.5,2256,33907,68.5
01/09/2021,9335.5,2690,2981.5,2273.5,33550,68.59
02/09/2021,9376.5,2695,2979,2312.5,33500,69.99
03/09/2021,9431,2727,2996.5,2310.5,33055,69.29
06/09/2021,9450.5,2773,3007.5,2275,32890,69.29
07/09/2021,9350.5,2757,3044,2274,32093,68.35
08/09/2021,9249,2794,3062,2278.5,32215,69.3
09/09/2021,9387.5,2839.5,3075.5,2298.5,33300,68.14
10/09/2021,9694.5,2924,3119,2318,33583,69.72
13/09/2021,9562.5,2896.5,3084.5,2293,33498,70.45
14/09/2021,9442,2831,3052,2272.5,33408,70.46
15/09/2021,9627,2893,3075.5,2235,34046,72.61
16/09/2021,9366.5,2879.5,3082,2208.5,34050,72.61
17/09/2021,9312,2885.5,3088,2181,34140,71.97
20/09/2021,9033,2863,3014,2156,33910,70.29
21/09/2021,8975.5,2846,2978,2134,33820,70.56
22/09/2021,9286,2935,3025.5,2113.5,34997,72.23
23/09/2021,9273.5,2949.5,3091,2120.5,35460,73.3
24/09/2021,9332.5,2915.5,3128.5,2153.5,36539,73.98
27/09/2021,9362,2883.5,3067.5,2162.5,35100,75.45
28/09/2021,9269,2944.5,3079,2169,35803,75.29
29/09/2021,9155,2911.5,3054,2140,35450,74.83
30/09/2021,8936.5,2858.5,2988,2092.5,33921,75.03
01/10/2021,9128,2857,2982.5,2140.5,33835,75.88
04/10/2021,9250.5,2916,3016,2148,34450,77.62
05/10/2021,9174,2921,3046.5,2152,35079,78.93
06/10/2021,9045.5,2897,3014.5,2151,35165,77.43
07/10/2021,9280,2946,3049.5,2173.5,35285,78.3
08/10/2021,9361,2966,3151,2221,36156,79.35
11/10/2021,9543,3064,3230,2227.5,36382,80.52
12/10/2021,9465,3068,3263,2211.5,36473,80.64
13/10/2021,9651,3068,3401.5,2245.5,36386,80.44
14/10/2021,9984,3117,3528.5,2300,36923,81.31
15/10/2021,10281,3171.5,3794.5,2337.5,37200,82.28
18/10/2021,10196,3167.5,3696.5,2378,37814,82.44
19/10/2021,10149.5,3112,3508,2376,37710,82.96
20/10/2021,10185.5,3069.5,3563.5,2417.5,38215,83.87
21/10/2021,9831.5,2910.5,3429.5,2400,37250,82.5
22/10/2021,9704,2868,3447.5,2423,37350,83.76
25/10/2021,9867.5,2875.5,3459.5,2438.5,37457,83.76
26/10/2021,9788.5,2829,3425,2422.5,37422,84.65
27/10/2021,9548,2686,3335,2384.5,35390,82.66
28/10/2021,9666.5,2746.5,3372,2422,35858,82.81
29/10/2021,9496,2716.5,3378.5,2384,36888,83.57
01/11/2021,9555,2719.5,3357.5,2379,36970,84.05
02/11/2021,9495.5,2692.5,3342.5,2363,36642,83.91
03/11/2021,9458.5,2656,3307,2374.5,37110,80.86
04/11/2021,9439,2554.5,3240.5,2348,36452,78.81
05/11/2021,9518,2556.5,3228.5,2351.5,37060,81.27
08/11/2021,9637.5,2605,3271,2365,37350,81.93
09/11/2021,9553,2556.5,3281.5,2339.5,37408,84.15
10/11/2021,9533,2578,3292,2338.5,37280,81.34
11/11/2021,9633.5,2660,3279,2366,37708,81.59
12/11/2021,9711,2700,3267.5,2360.5,37845,80.79
15/11/2021,9673,2657,3217,2326.5,37500,80.88
16/11/2021,9561,2574.5,3223,2307,37650,80.76
17/11/2021,9406.5,2616.5,3192,2254,37975,78.36
18/11/2021,9441.5,2616,3159,2215,38453,79.01
19/11/2021,9646.5,2679.5,3238,2215.5,38429,76.1
22/11/2021,9726.5,2689.5,3348.5,2259.5,38817,76.75
23/11/2021,9710.5,2668.5,3301,2253,38870,78.5
24/11/2021,9835,2704,3322,2263.5,39960,78.39
25/11/2021,9801.5,2717.5,3300.5,2270.5,39709,78.39
26/11/2021,9460,2615,3194,2269,38652,68.15
29/11/2021,9577.5,2630,3198,2270.5,39129,69.95
30/11/2021,9442.5,2625,3200.5,2275.5,39020,66.18
01/12/2021,9444,2664.5,3202.5,2301.5,39086,65.57
02/12/2021,9496,2600,3146,2256.5,38984,66.5
03/12/2021,9418,2623,3161.5,2210.5,39335,66.26
06/12/2021,9505,2588,3162.5,2196,38734,69.49
07/12/2021,9595,2628.5,3226.5,2186,38935,72.05
08/12/2021,9652.5,2627,3310,2284,39236,72.36
09/12/2021,9534.5,2626.5,3310,2284.5,39500,70.94
10/12/2021,9506.5,2606.5,3328.5,2284,39400,71.67
13/12/2021,9447.5,2654,3325,2298,38745,71.29
14/12/2021,9412,2628.5,3304.5,2284.5,38601,70.73
15/12/2021,9199.5,2597,3271.5,2284,37962,70.87
16/12/2021,9507.5,2667,3422,2308,38692,72.38
17/12/2021,9437.5,2724.5,3387,2307.5,38410,70.86
20/12/2021,9446.5,2671,3354.5,2293.5,38195,68.23
21/12/2021,9534,2754,3427.5,2295.5,38685,71.12
22/12/2021,9607,2824.5,3531.5,2319.5,38725,72.76
23/12/2021,9612,2846,3527,2272.5,38899,73.79
24/12/2021,9568,2837,3519,2278,39260,73.79
27/12/2021,9568,2837,3519,2278,39260,75.57
28/12/2021,9568,2837,3519,2278,39260,75.98
29/12/2021,9680.5,2810.5,3513,2286.5,39143,76.56
30/12/2021,9691.5,2818,3532.5,2297,39197,76.99
31/12/2021,9720.5,2807.5,3534,2304,38860,75.21
03/01/2022,9720.5,2807.5,3534,2304,38860,76.08
04/01/2022,9768,2839,3604,2298,39195,76.99
05/01/2022,9698,2922,3588,2287.5,39293,77.85
06/01/2022,9531,2921.5,3550,2307,39150,79.46
07/01/2022,9647,2914.5,3533,2278,39826,78.9
10/01/2022,9563.5,2931.5,3477,2277.5,39918,78.23
11/01/2022,9719.5,2970,3556,2300,40449,81.22
12/01/2022,10064,2982.5,3552,2346,41402,82.64
13/01/2022,9958.5,2952,3563.5,2358,40511,82.12
14/01/2022,9719.5,2976.5,3521,2355.5,40351,83.82
17/01/2022,9731,2997,3508,2356.5,41300,83.82
18/01/2022,9676,3024.5,3567,2323,42292,85.43
19/01/2022,9841.5,3050.5,3581.5,2363,42896,86.96
20/01/2022,9990,3111,3649.5,2349.5,43497,86.9
21/01/2022,9941,3040.5,3635,2371,43955,85.14
24/01/2022,9728,3028.5,3595.5,2358,42555,83.31
25/01/2022,9801,3092,3572.5,2334.5,41370,85.6
26/01/2022,9916.5,3094,3610,2322,42208,87.35
27/01/2022,9782,3098.5,3630.5,2312.5,41895,86.61
28/01/2022,9507.5,3082.5,3609.5,2265,41684,86.82
31/01/2022,9506,3021,3586,2244.5,43023,88.15
01/02/2022,9696.5,3032.5,3602.5,2234.5,42763,88.2
02/02/2022,9839.5,2986,3610,2241,43050,88.26
03/02/2022,9832.5,3050,3596.5,2191.5,42902,90.27
04/02/2022,9841.5,3074,3612.5,2187.5,43021,92.31
07/02/2022,9777.5,3132,3625,2195.5,42944,91.32
08/02/2022,9781,3183,3593,2205,42930,89.36
09/02/2022,10059,3266,3644.5,2243.5,43110,89.66
10/02/2022,10254,3250.5,3703,2279,44192,89.88
11/02/2022,9860.5,3136.5,3626.5,2279,43549,93.1
14/02/2022,9920,3214.5,3574.5,2287.5,43267,95.46
15/02/2022,9968.5,3208,3582,2308.5,43408,92.07
16/02/2022,9992.5,3256,3584,2338,43699,93.66
17/02/2022,9929,3268,3606,2346,43843,91.76
18/02/2022,9956,3262.5,3575.5,2348.5,44140,91.07
21/02/2022,9898,3279.5,3558,2334,44152,91.07
22/02/2022,9915,3303,3605,2341.5,44383,92.35
23/02/2022,9866,3292.5,3571.5,2335.5,44935,92.1
24/02/2022,9864,3394.5,3641,2343.5,45189,92.81
25/02/2022,9873,3357.5,3621.5,2368.5,44470,91.59
28/02/2022,9883.5,3368.5,3666,2387,45224,95.72
01/03/2022,10061.5,3478,3746,2409,45785,103.41
02/03/2022,10166,3569,3861,2400.5,45628,110.6
03/03/2022,10351,3716.5,3920.5,2408,46412,107.67
04/03/2022,10674,3849,4051,2459,47540,115.68
07/03/2022,10281.5,3740,4112.5,2448.5,46735,119.4
08/03/2022,10209,3498,4135.5,2497,48650,123.7
09/03/2022,10001.5,3341,3940,2405.5,44205,108.7
10/03/2022,10117,3427.5,3863,2356,43749,106.02
11/03/2022,10183.5,3483,3815,2325.5,44100,109.33
14/03/2022,9935,3319.5,3809,2268,42587,103.01
15/03/2022,9904,3277.5,3798,2242,43101,96.44
16/03/2022,10054,3258.5,3808.5,2251.5,42277,95.04
17/03/2022,10243,3384.5,3825.5,2254,41705,102.98
18/03/2022,10331,3381,3826,2252.5,42305,104.7
21/03/2022,10295,3521,3940,2258,41755,112.12
22/03/2022,10268,3504.5,3888,2275.5,41394,111.76
23/03/2022,10438.5,3653,4100,2370,42066,114.93
24/03/2022,10349.5,3623.5,4039,2308.5,42726,112.34
25/03/2022,10267,3605,4066.5,2350.5,42283,113.9
28/03/2022,10341,3614,4087.5,2369,42556,105.96
29/03/2022,10316.5,3436,4027,2379.5,42424,104.24
30/03/2022,10367.5,3551,4149,2417.5,42493,107.82
31/03/2022,10375,3491,4173.5,2416,42910,100.28
01/04/2022,10353.5,3450,4339,2449.5,44767,99.27
04/04/2022,10469,3447,4369,2413,44155,103.28
05/04/2022,10455,3465,4296.5,2428,44174,101.96
06/04/2022,10305,3441,4274,2413.5,43850,96.23
07/04/2022,10311.5,3385,4188,2384.5,43600,96.03
08/04/2022,10323.5,3374.5,4254.5,2394.5,43710,98.26
11/04/2022,10200.5,3248,4290,2382,43379,94.29
12/04/2022,10342.5,3267,4376,2394.5,42793,100.6
13/04/2022,10299,3236,4461.5,2432.5,43324,104.25
14/04/2022,10315,3285.5,4412,2435,43043,106.95
15/04/2022,10315,3285.5,4412,2435,43043,106.95
18/04/2022,10315,3285.5,4412,2435,43043,108.21
19/04/2022,10304.5,3261,4498.5,2447.5,43090,102.56
20/04/2022,10223,3269,4418,2424,42995,102.75
21/04/2022,10285,3298,4450,2401.5,42860,103.79
22/04/2022,10110,3245.5,4434.5,2388.5,42165,102.07
25/04/2022,9769,3090.5,4168.5,2327,39858,98.54
